"Numero_expedient","Codi_districte","Nom_districte","Codi_barri","Nom_barri","Codi_carrer","Nom_carrer","Num_postal ","Descripcio_dia_setmana","NK_Any","Mes_any","Nom_mes","Dia_mes","Hora_dia","Descripcio_torn","Descripcio_causa_conductor","Coordenada_UTM_X_ED50","Coordenada_UTM_Y_ED50","Longitud","Latitud"
"2018S009297    ",-1,"Desconegut",-1,"Desconegut",-1,"Pare Pérez del Pulgar                             ","106       ","Dimarts","2018",12,"Desembre","4","18","Manca d'atenció a la conducció","Tarda","432687.83 ","4589691.16","2.19295225268107","41.4541392343325"
"2018S006070    ",-1,"Desconegut",-1,"Desconegut",-1,"Joan XXIII                                        ","2-16      ","Dilluns","2018",8,"Agost","6","12","No determinada","Matí","426640.9  ","4581697.55","2.12153103162413","41.3816141086725"
"2018S002030    ",-1,"Desconegut",-1,"Desconegut",-1,"Corts Catalanes                                   ","900       ","Dimarts","2018",3,"Març","13","14","No respectar distàncies","Tarda","432587.59 ","4584475.05","2.19233444791618","41.4071510042300"
"2018S005592    ",-1,"Desconegut",-1,"Desconegut",-1,"Martin Luther King                                ","65        ","Dijous","2018",7,"Juliol","19","13","Desobeir semàfor","Matí","432765.75 ","4588432.8 ","2.19402531212002","41.4428121621969"
"2018S002762    ",-1,"Desconegut",-1,"Desconegut",-1,"Francesc Ferrer i Guàrdia                         ","16-36     ","Dimecres","2018",4,"Abril","11","11","No determinada","Matí","428901.74 ","4580348.8 ","2.14872517491332","41.3696695106904"
"2018S004497    ",-1,"Desconegut",-1,"Desconegut",-1,"Motors                                            ","53-59     ","Dilluns","2018",6,"Juny","11","18","Desobeir altres senyals","Tarda","427728.32 ","4577932.12","2.13498377909127","41.3477987088942"
"2018S004293    ",-1,"Desconegut",-1,"Desconegut",-1,"Corts Catalanes                                   ","900       ","Diumenge","2018",6,"Juny","3","03","No respectar distàncies","Nit","432587.59 ","4584475.05","2.19233444791618","41.4071510042300"
"2018S004115    ",10,"Sant Martí",64,"el Camp de l'Arpa del Clot",297001,"Sant Antoni Maria Claret","0272 0274","Dilluns","2018",5,"Maig","28","09","No respectar distàncies","Matí","431315.37 ","4585145.28","2.17703859954137","41.4130797515073"
"2018S006603    ",10,"Sant Martí",64,"el Camp de l'Arpa del Clot",194406,"Maragall","0033 0035","Dimecres","2018",9,"Setembre","5","08","Altres","Matí","431638.05 ","4585369.85","2.18087380503432","41.4151299179289"
"2018S003148    ",10,"Sant Martí",64,"el Camp de l'Arpa del Clot",194406,"Maragall","0045 0045","Dimarts","2018",4,"Abril","24","08","Desobeir altres senyals","Matí","431600.89 ","4585393.68","2.18042650489746","41.4153413821361"
"2018S001162    ",10,"Sant Martí",64,"el Camp de l'Arpa del Clot",161407,"Indústria","0197 0197","Dilluns","2018",2,"Febrer","12","12","Manca precaució incorporació circulació","Matí","431275.04 ","4584936.5 ","2.17657982025174","41.4111958882258"
"2018S002732    ",10,"Sant Martí",64,"el Camp de l'Arpa del Clot",161407,"Indústria","0209 0209","Dimarts","2018",4,"Abril","10","11","Altres","Matí","431314.7  ","4584991.14","2.17704809774645","41.4116914060555"
"2018S009276    ",10,"Sant Martí",64,"el Camp de l'Arpa del Clot",297001,"Sant Antoni Maria Claret","0248 0250","Dimarts","2018",12,"Desembre","4","15","Canvi de carril sense precaució","Tarda","431181.73 ","4585030.22","2.17545280600587","41.4120320018594"
"2018S000203    ",10,"Sant Martí",64,"el Camp de l'Arpa del Clot",310008,"Sant Quintí","0037 0045","Dimarts","2018",1,"Gener","9","08","Altres","Matí","431414.92 ","4585159.44","2.17822802734313","41.4132157952830"
"2018S000690    ",10,"Sant Martí",64,"el Camp de l'Arpa del Clot",134801,"Freser","0035 0035","Divendres","2018",1,"Gener","26","07","Desconegut","Matí","431576.43 ","4584960.54","2.18018288144211","41.4114381465036"
"2018S008934    ",10,"Sant Martí",64,"el Camp de l'Arpa del Clot",105304,"Dos de Maig","0278 0278","Dijous","2018",11,"Novembre","22","16","Gir indegut o sense precaució","Tarda","431461.64 ","4584743.79","2.17883412021401","41.4094761597731"
"2018S008635    ",10,"Sant Martí",64,"el Camp de l'Arpa del Clot",18505,"Aragó","0555 0555","Diumenge","2018",11,"Novembre","11","10","No determinada","Matí","431934.16 ","4584454.66","2.18451968042250","41.4069122437300"
"2018S002373    ",10,"Sant Martí",64,"el Camp de l'Arpa del Clot",191204,"Mallorca","0518 0518","Dilluns","2018",3,"Març","26","10","Desobeir semàfor","Matí","431651.12 ","4584550.2 ","2.18112285478852","41.4077487047724"
"2018S003512    ",10,"Sant Martí",64,"el Camp de l'Arpa del Clot",191204,"Mallorca","0534 0534","Dissabte","2018",5,"Maig","5","17","Canvi de carril sense precaució","Tarda","431736.13 ","4584619.91","2.18213197732538","41.4083837913911"
