"Numero_expedient","Codi_districte","Nom_districte","Codi_barri","Nom_barri","Codi_carrer","Nom_carrer","Num_postal ","Descripcio_dia_setmana","NK_Any","Mes_any","Nom_mes","Dia_mes","Hora_dia","Descripcio_causa_mediata","Descripcio_torn","Coordenada_UTM_X_ED50","Coordenada_UTM_Y_ED50","Longitud","Latitud"
"2021S002333    ",-1,"Desconegut",-1,"Desconegut",-1,"Guinardó                                          ","57","Dimecres","2021",5,"Maig","5","15","No respectar distàncies","Tarda","430550.11 ","4585063.91","2.167892048","41.412278361"
"2021S004053    ",10,"Sant Martí",64,"el Camp de l'Arpa del Clot",209900,"Meridiana","0179 0179","Dilluns","2021",7,"Juliol","19","17","No respectar distàncies","Tarda","432112.41","4585138.78","2.186575082","41.413086252"
"2021S004679    ",10,"Sant Martí",64,"el Camp de l'Arpa del Clot",346402,"Trinxant","0073 0075","Dimarts","2021",8,"Agost","24","16","No respectat pas de vianants","Tarda","431951.08","4585370.32","2.184618837","41.415158009"
"2021S004271    ",10,"Sant Martí",64,"el Camp de l'Arpa del Clot",134801,"Freser","0218 0218","Dijous","2021",7,"Juliol","29","11","Gir indegut o sense precaució","Matí","431828.84","4585537.12","2.183137478","41.416649958"
"2021S005246    ",10,"Sant Martí",64,"el Camp de l'Arpa del Clot",161407,"Indústria","0257 0257","Dimarts","2021",9,"Setembre","21","06","No determinada","Matí","431553.87","4585250.39","2.179879963","41.414044086"
"2021S003109    ",10,"Sant Martí",64,"el Camp de l'Arpa del Clot",194406,"Maragall","0025 0027","Dimecres","2021",6,"Juny","9","19","Desobeir altres senyals","Tarda","431615.55","4585319.72","2.180610084","41.414673773"
"2021S003735    ",10,"Sant Martí",64,"el Camp de l'Arpa del Clot",90502,"Còrsega","0653 0653","Dimarts","2021",7,"Juliol","6","08","Gir indegut o sense precaució","Matí","431374.61","4584865.06","2.17777896","41.410558247"
"2021S003455    ",10,"Sant Martí",64,"el Camp de l'Arpa del Clot",161101,"Independència","0352 0352","Dimecres","2021",6,"Juny","23","16","Avançament defectuós/improcedent","Tarda","431492.68","4584929.88","2.179184175","41.411152138"
"2021S004939    ",10,"Sant Martí",64,"el Camp de l'Arpa del Clot",268003,"Provença","0563 0563","Dimecres","2021",9,"Setembre","8","11","Manca d'atenció a la conducció","Matí","431680.50","4584770.14","2.18144927","41.409729406"
"2021S004773    ",10,"Sant Martí",64,"el Camp de l'Arpa del Clot",289105,"Rosselló","0520 0520","Dilluns","2021",8,"Agost","30","19","Manca precaució incorporació circulació","Tarda","431592.77","4584843.88","2.180391364","41.410386093"
