"Numero_expedient","Codi_districte","Nom_districte","Codi_barri","Nom_barri","Codi_carrer","Nom_carrer","Num_postal","Descripcio_dia_setmana","NK_Any","Mes_any","Nom_mes","Dia_mes","Hora_dia","Descripcio_torn","Descripcio_causa_vianant","Descripcio_tipus_vehicle","Descripcio_model","Descripcio_marca","Descripcio_color","Descripcio_carnet","Antiguitat_carnet","Coordenada_UTM_X_ED50","Coordenada_UTM_Y_ED50","Longitud_WGS84","Latitud_WGS84"
"2021S000858    ",-1,"Desconegut",-1,"Desconegut",-1,"Arístides Maillol                                 ","6-18      ","Dijous","2021",2,"Febrer","18","21","Tarda","No és causa del  vianant","Ciclomotor","LIBERTY 50 4T DELIVERY","PIAGGIO","Desconegut","AM","15","-1","-1",,
"2021S000858    ",-1,"Desconegut",-1,"Desconegut",-1,,,"Dijous","2021",2,"Febrer","18","21","Tarda","No és causa del  vianant","Turisme","CORSA C","OPEL","Blanc","B","26","-1","-1",,
"2021S002939    ",-1,"Desconegut",-1,"Desconegut",-1,"Corts Catalanes                                   ","128-132   ","Dijous","2021",6,"Juny","3","09","Matí","No és causa del  vianant","Turisme","LEON FR","SEAT","Vermell","B","9","-1","-1",,
"2021S002939    ",-1,"Desconegut",-1,"Desconegut",-1,,,"Dijous","2021",6,"Juny","3","09","Matí","No és causa del  vianant","Turisme","SCIROCCO","VOLKSWAGEN","Blanc","B","10","-1","-1",,
"2021S004388    ",-1,"Desconegut",-1,"Desconegut",-1,"Estatut de Catalunya                              ","2-14      ","Dijous","2021",8,"Agost","5","11","Matí","No és causa del  vianant","Motocicleta","R 1200 RS","BMW","Negre","A","25","-1","-1",,
"2021S004388    ",-1,"Desconegut",-1,"Desconegut",-1,,,"Dijous","2021",8,"Agost","5","11","Matí","No és causa del  vianant","Turisme","QASHQAI","NISSAN","Negre","B","57","-1","-1",,
"2021S007143    ",-1,"Desconegut",-1,"Desconegut",-1,"Corts / Arístides Maillol                         ",,"Dijous","2021",12,"Desembre","9","14","Tarda","No és causa del  vianant","Motocicleta","AGILITY CITY 125","KYMCO","Blanc","A2","Desconegut","-1","-1",,
"2021S007143    ",-1,"Desconegut",-1,"Desconegut",-1,,,"Dijous","2021",12,"Desembre","9","14","Tarda","No és causa del  vianant","Turisme","TOYOTA YARIS CROSS","TOYOTA","Blanc","B","16","-1","-1",,
"2021S000300    ",-1,"Desconegut",-1,"Desconegut",-1,"Vall d'Hebron                                     ","119-129   ","Dilluns","2021",1,"Gener","18","21","Tarda","No és causa del  vianant","Turisme","IBIZA","SEAT","Blanc","B","10","-1","-1",,
"2021S001166    ",-1,"Desconegut",-1,"Desconegut",-1,"Trinitat                                          ","K0        ","Dilluns","2021",3,"Març","8","09","Matí","No és causa del  vianant","Motocicleta","NINJA ZX-10R ABS","KAWASAKI","Negre","A","10","-1","-1",,
"2021S001166    ",-1,"Desconegut",-1,"Desconegut",-1,,,"Dilluns","2021",3,"Març","8","09","Matí","No és causa del  vianant","Turisme","PASSAT","VOLKSWAGEN","Negre","B","30","-1","-1",,
"2021S004901    ",-1,"Desconegut",-1,"Desconegut",-1,"Pere IV / Badajoz                                 ",,"Dilluns","2021",9,"Setembre","6","18","Tarda","No és causa del  vianant","Motocicleta","SH 125","HONDA","Negre","B","32","-1","-1",,
"2021S004901    ",-1,"Desconegut",-1,"Desconegut",-1,,,"Dilluns","2021",9,"Setembre","6","18","Tarda","No és causa del  vianant","Turisme","POLO 1.4","VOLKSWAGEN","Negre","B","5","-1","-1",,
"2021S007585    ",-1,"Desconegut",-1,"Desconegut",-1,"Número 3 Zona Franca / A Zona Franca              ",,"Dilluns","2021",12,"Desembre","27","14","Tarda","No és causa del  vianant","Furgoneta","VITO FURGÓN 114 CDI","MERCEDES-BENZ","Blanc","B","3","-1","-1",,
"2021S007585    ",-1,"Desconegut",-1,"Desconegut",-1,,,"Dilluns","2021",12,"Desembre","27","14","Tarda","No és causa del  vianant","Tractor camió","FTP CF 85410","DAF-HERMANNS","Desconegut","C","18","-1","-1",,
"2021S004674    ",-1,"Desconegut",-1,"Desconegut",-1,"Corts                                             ","63        ","Dimarts","2021",8,"Agost","24","08","Matí","No és causa del  vianant","Motocicleta","MP3 500 LT","PIAGGIO","Negre","B","25","-1","-1",,
"2021S004674    ",-1,"Desconegut",-1,"Desconegut",-1,,,"Dimarts","2021",8,"Agost","24","08","Matí","No és causa del  vianant","Turisme","YARIS HYBRID","TOYOTA","Blanc","B","38","-1","-1",,
"2021S007098    ",-1,"Desconegut",-1,"Desconegut",-1,"Número 4 Zona Franca                              ","85        ","Dimarts","2021",12,"Desembre","7","06","Matí","No és causa del  vianant","Furgoneta","NISSAN NV200","NISSAN","Blau","B","33","-1","-1",,
