DATA_LECTURA,03.TM,04.TX,05.TN,06.HRM,07.PPT24H,08.HPA,09.RS24H,10.VVM10,11.DVM10
2022-01-01 00:00:00,11.1,11.1,11.1,92.0,0.0,1023.7,0.0,1.5,263.0
2022-01-01 00:30:00,11.0,11.1,10.8,89.0,0.0,1023.4,0.0,1.7,273.0
2022-01-01 01:00:00,10.4,10.8,10.1,83.0,0.0,1023.2,0.0,1.7,253.0
2022-01-01 01:30:00,9.9,10.1,9.5,81.0,0.0,1023.1,0.0,1.7,252.0
2022-01-01 02:00:00,9.4,9.5,9.3,79.0,0.0,1023.0,0.0,1.6,254.0
2022-01-01 02:30:00,9.6,9.7,9.5,77.0,0.0,1022.8,0.0,1.3,276.0
2022-01-01 03:00:00,9.5,9.7,9.2,77.0,0.0,1022.8,0.0,0.9,241.0
2022-01-01 03:30:00,9.1,9.3,8.9,77.0,0.0,1022.6,0.0,0.5,253.0
2022-01-01 04:00:00,9.4,9.5,9.1,75.0,0.0,1022.4,0.0,1.4,273.0
2022-01-01 04:30:00,8.7,9.0,8.6,74.0,0.0,1022.3,0.0,2.0,251.0
2022-01-01 05:00:00,8.9,9.0,8.8,74.0,0.0,1022.1,0.0,1.6,253.0
2022-01-01 05:30:00,8.8,8.9,8.8,73.0,0.0,1022.2,0.0,1.4,252.0
2022-01-01 06:00:00,8.9,9.0,8.7,72.0,0.0,1022.3,0.0,0.8,264.0
2022-01-01 06:30:00,8.9,9.0,8.6,70.0,0.0,1022.6,0.0,1.9,255.0
2022-01-01 07:00:00,8.6,8.6,8.5,68.0,0.0,1022.9,2.0,1.7,251.0
2022-01-01 07:30:00,8.8,9.2,8.6,66.0,0.0,1023.1,39.0,0.6,244.0
2022-01-01 08:00:00,9.2,9.4,9.1,64.0,0.0,1023.2,120.0,1.8,254.0
2022-01-01 08:30:00,9.6,9.8,9.2,61.0,0.0,1023.5,197.0,1.8,258.0
2022-01-01 09:00:00,10.6,11.2,9.9,57.0,0.0,1023.6,271.0,1.3,236.0
2022-01-01 09:30:00,11.6,12.5,11.0,54.0,0.0,1023.6,335.0,1.7,257.0
2022-01-01 10:00:00,12.8,13.1,12.3,57.0,0.0,1023.8,385.0,2.3,260.0
2022-01-01 10:30:00,13.8,14.7,13.2,61.0,0.0,1023.7,424.0,2.3,260.0
2022-01-01 11:00:00,15.0,16.1,14.4,64.0,0.0,1023.5,445.0,1.7,245.0
2022-01-01 11:30:00,16.0,16.2,15.9,63.0,0.0,1023.2,454.0,1.6,232.0
2022-01-01 12:00:00,16.1,16.5,15.8,66.0,0.0,1022.7,450.0,1.7,227.0
2022-01-01 12:30:00,16.6,16.9,16.2,65.0,0.0,1022.3,432.0,1.7,228.0
2022-01-01 13:00:00,17.0,17.5,16.7,64.0,0.0,1021.9,402.0,1.5,232.0
2022-01-01 13:30:00,17.0,17.5,16.6,62.0,0.0,1021.6,359.0,1.5,215.0
2022-01-01 14:00:00,17.1,17.3,16.8,61.0,0.0,1021.6,303.0,1.5,205.0
2022-01-01 14:30:00,17.6,18.0,17.1,58.0,0.0,1021.6,233.0,1.0,219.0
2022-01-01 15:00:00,17.1,17.5,16.8,61.0,0.0,1021.7,158.0,1.0,206.0
2022-01-01 15:30:00,16.9,17.2,16.7,63.0,0.0,1021.9,85.0,0.5,150.0
2022-01-01 16:00:00,16.1,17.1,15.2,67.0,0.0,1022.0,22.0,1.3,79.0
2022-01-01 16:30:00,14.7,15.2,14.4,76.0,0.0,1022.3,0.0,1.8,76.0
2022-01-01 17:00:00,14.1,14.4,13.8,81.0,0.0,1022.5,0.0,1.6,64.0
2022-01-01 17:30:00,13.7,13.8,13.5,90.0,0.0,1022.6,0.0,1.4,68.0
2022-01-01 18:00:00,13.4,13.5,13.4,95.0,0.0,1022.8,0.0,1.3,63.0
2022-01-01 18:30:00,13.2,13.3,13.1,94.0,0.0,1022.9,0.0,1.4,54.0
2022-01-01 19:00:00,13.1,13.1,13.0,91.0,0.0,1023.1,0.0,1.4,54.0
2022-01-01 19:30:00,12.9,13.0,12.8,90.0,0.0,1023.1,0.0,1.3,44.0
2022-01-01 20:00:00,12.8,12.9,12.7,93.0,0.0,1023.2,0.0,1.3,42.0
2022-01-01 20:30:00,12.6,12.7,12.5,96.0,0.0,1023.3,0.0,1.1,33.0
2022-01-01 21:00:00,12.4,12.6,12.4,98.0,0.0,1023.4,0.0,0.9,47.0
2022-01-01 21:30:00,12.6,12.7,12.5,99.0,0.0,1023.5,0.0,0.9,34.0
2022-01-01 22:00:00,12.4,12.5,12.3,100.0,0.0,1023.6,0.0,0.5,33.0
2022-01-01 22:30:00,12.1,12.3,11.9,100.0,0.0,1023.8,0.0,0.9,52.0
2022-01-01 23:00:00,11.9,12.0,11.7,100.0,0.0,1023.9,0.0,1.2,71.0
2022-01-01 23:30:00,11.7,11.8,11.7,100.0,0.0,1023.9,0.0,0.8,40.0
2022-01-02 00:00:00,10.7,10.8,10.7,80.0,0.0,1016.8,0.0,1.5,38.0
2022-01-02 00:30:00,10.8,10.8,10.7,82.0,0.0,1016.9,0.0,1.2,24.0
2022-01-02 01:00:00,10.9,10.9,10.7,85.0,0.0,1016.9,0.0,1.0,1.0
2022-01-02 01:30:00,10.7,10.8,10.6,86.0,0.0,1017.1,0.0,0.3,274.0
2022-01-02 02:00:00,10.5,10.8,10.3,87.0,0.0,1017.3,0.0,0.7,320.0
2022-01-02 02:30:00,10.6,10.9,10.4,87.0,0.0,1017.3,0.0,0.9,278.0
2022-01-02 03:00:00,10.7,10.9,10.6,82.0,0.0,1017.2,0.0,1.1,289.0
2022-01-02 03:30:00,10.6,10.7,10.5,76.0,0.0,1017.0,0.0,1.3,275.0
2022-01-02 04:00:00,10.4,10.6,10.2,63.0,0.0,1017.1,0.0,1.2,270.0
2022-01-02 04:30:00,10.1,10.2,9.9,56.0,0.0,1017.4,0.0,0.7,254.0
2022-01-02 05:00:00,9.9,10.0,9.7,53.0,0.0,1017.6,0.0,0.6,272.0
2022-01-02 05:30:00,9.9,10.1,9.8,51.0,0.0,1017.8,0.0,1.6,276.0
2022-01-02 06:00:00,9.8,10.1,9.6,48.0,0.0,1018.2,0.0,2.1,283.0
2022-01-02 06:30:00,9.3,9.6,9.1,50.0,0.0,1018.8,0.0,2.5,286.0
2022-01-02 07:00:00,9.2,9.5,9.1,50.0,0.0,1019.2,12.0,2.2,289.0
2022-01-02 07:30:00,9.8,10.2,9.5,48.0,0.0,1019.4,72.0,1.9,287.0
2022-01-02 08:00:00,10.8,11.1,10.2,44.0,0.0,1019.9,152.0,2.4,325.0
2022-01-02 08:30:00,10.5,10.7,10.4,46.0,0.0,1020.1,238.0,3.1,286.0
2022-01-02 09:00:00,10.9,11.4,10.5,46.0,0.0,1019.9,318.0,3.3,298.0
2022-01-02 09:30:00,11.6,12.1,11.2,44.0,0.0,1020.0,390.0,3.3,310.0
2022-01-02 10:00:00,12.5,13.4,12.1,40.0,0.0,1020.4,450.0,2.3,295.0
2022-01-02 10:30:00,13.8,14.6,13.4,35.0,0.0,1020.7,498.0,1.9,306.0
