,File_Num,District,Neighbourhood,Street_name,Day_name,year,month,Month_name,day,hour,Day_shift,Accident_tipology,Date
0,2021S006247    ,Not known,Desconegut,Glòries Catalanes                                 ,Dimecres,2021,11,Novembre,3,12,Morning,Inner Vehicle Falling,2021-11-03 12:00:00
1,2021S000858    ,Not known,Desconegut,Arístides Maillol                                 ,Dijous,2021,2,Febrer,18,21,Afternoon,Collision,2021-02-18 21:00:00
2,2021S004053    ,Sant Martí,el Camp de l'Arpa del Clot,Meridiana,Dilluns,2021,7,Juliol,19,17,Afternoon,Multiple range,2021-07-19 17:00:00
3,2021S004166    ,Sant Martí,el Camp de l'Arpa del Clot,Meridiana,Divendres,2021,7,Juliol,23,23,Night,Collision,2021-07-23 23:00:00
4,2021S005696    ,Sant Martí,el Camp de l'Arpa del Clot,Ruiz de Padrón,Dilluns,2021,10,Octubre,11,19,Afternoon,Collision,2021-10-11 19:00:00
5,2021S007433    ,Sant Martí,el Camp de l'Arpa del Clot,Sant Antoni Maria Claret,Dilluns,2021,12,Desembre,20,8,Morning,Collision,2021-12-20 08:00:00
6,2021S007492    ,Sant Martí,el Camp de l'Arpa del Clot,Conca,Dimecres,2021,12,Desembre,22,16,Afternoon,Collision,2021-12-22 16:00:00
7,2021S003063    ,Sant Martí,el Camp de l'Arpa del Clot,Maragall,Dimarts,2021,6,Juny,8,10,Morning,Scope,2021-06-08 10:00:00
8,2021S007644    ,Sant Martí,el Camp de l'Arpa del Clot,Sant Antoni Maria Claret,Dijous,2021,12,Desembre,30,13,Morning,Scope,2021-12-30 13:00:00
9,2021S003517    ,Sant Martí,el Camp de l'Arpa del Clot,Conca,Divendres,2021,6,Juny,25,18,Afternoon,Shock,2021-06-25 18:00:00
10,2021S001433    ,Sant Martí,el Camp de l'Arpa del Clot,Indústria,Dissabte,2021,3,Març,20,14,Afternoon,Inner Vehicle Falling,2021-03-20 14:00:00
11,2021S006785    ,Sant Martí,el Camp de l'Arpa del Clot,Còrsega,Dijous,2021,11,Novembre,25,6,Morning,Hit,2021-11-25 06:00:00
12,2021S006361    ,Sant Martí,el Camp de l'Arpa del Clot,Sant Antoni Maria Claret,Dilluns,2021,11,Novembre,8,7,Morning,Scope,2021-11-08 07:00:00
13,2021S007380    ,Sant Martí,el Camp de l'Arpa del Clot,Dos de Maig,Dissabte,2021,12,Desembre,18,14,Afternoon,Scope,2021-12-18 14:00:00
14,2021S005172    ,Sant Martí,el Camp de l'Arpa del Clot,Aragó,Dissabte,2021,9,Setembre,18,10,Morning,Multiple range,2021-09-18 10:00:00
15,2021S004337    ,Sant Martí,el Camp de l'Arpa del Clot,València,Dilluns,2021,8,Agost,2,2,Night,Collision,2021-08-02 02:00:00
16,2021S005968    ,Sant Martí,el Camp de l'Arpa del Clot,València,Dissabte,2021,10,Octubre,23,6,Morning,Collision,2021-10-23 06:00:00
17,2021S002678    ,Sant Martí,el Camp de l'Arpa del Clot,València,Dijous,2021,5,Maig,20,17,Afternoon,Collision,2021-05-20 17:00:00
18,2021S001641    ,Sant Martí,el Clot,Glòries Catalanes,Dimarts,2021,3,Març,30,12,Morning,Collision,2021-03-30 12:00:00
19,2021S003256    ,Sant Martí,el Clot,Glòries Catalanes,Dimarts,2021,6,Juny,15,20,Afternoon,Collision,2021-06-15 20:00:00
20,2021S000346    ,Sant Martí,Sant Martí de Provençals,Corts Catalanes,Divendres,2021,1,Gener,22,14,Afternoon,Hit,2021-01-22 14:00:00
